Platform,LoC
openHAB,0
openHAB,4
openHAB,1
openHAB,3
openHAB,9
openHAB,1
openHAB,11
Hass,3
Hass,2
Hass,2
Hass,2
Hass,10
Hass,1
Hass,11
Elixir,7
Elixir,10
Elixir,6
Elixir,5
Elixir,6
Elixir,10
Elixir,11
Sparrow,0
Sparrow,0
Sparrow,0
Sparrow,0
Sparrow,0
Sparrow,0
Sparrow,0
openHAB,0
openHAB,0
openHAB,0
openHAB,0
openHAB,2
openHAB,0
openHAB,0
Hass,0
Hass,0
Hass,0
Hass,0
Hass,2
Hass,0
Hass,0
Elixir,0
Elixir,0
Elixir,0
Elixir,0
Elixir,2
Elixir,0
Elixir,0
Sparrow,0
Sparrow,0
Sparrow,0
Sparrow,0
Sparrow,2
Sparrow,0
Sparrow,0
openHAB,0
openHAB,6
openHAB,6
openHAB,1
openHAB,4
openHAB,1
openHAB,2
Hass,0
Hass,4
Hass,1
Hass,1
Hass,6
Hass,1
Hass,2
Elixir,0
Elixir,4
Elixir,2
Elixir,1
Elixir,2
Elixir,2
Elixir,3
Sparrow,0
Sparrow,1
Sparrow,1
Sparrow,1
Sparrow,2
Sparrow,1
Sparrow,1
openHAB,3
openHAB,2
openHAB,4
openHAB,2
openHAB,6
openHAB,3
openHAB,4
Hass,2
Hass,1
Hass,1
Hass,1
Hass,5
Hass,2
Hass,8
Elixir,5
Elixir,6
Elixir,4
Elixir,2
Elixir,4
Elixir,6
Elixir,4
Sparrow,2
Sparrow,1
Sparrow,1
Sparrow,1
Sparrow,6
Sparrow,4
Sparrow,1
